precio_comunitario,porcentaje_vs_red,ahorro_prom_abs,ahorro_prom_pct,prob_ahorro,utilidad_prom,margen_prom,prob_perdida,es_factible,score,pct_incentivo_usuario,pct_incentivo_empresa
649.9772182254196,0.8124715227817745,495772.98250354617,0.18559853222081693,1.0,5951.269060487597,0.0021771896500365423,0.4482,False,0.28509897255457184,0.9999999999999998,2.220446049250313e-16
653.0184994861254,0.8162731243576568,486191.9157740641,0.1820062989896284,1.0,18826.378841714875,0.007055288318535542,0.3564,False,0.29176440929273983,0.9661809523809517,0.033819047619048304
656.059780746831,0.8200747259335388,475030.67777839606,0.17789472818791324,1.0,26290.343580946206,0.009866473830604733,0.3012,False,0.2944063097315393,0.9323619047619047,0.06763809523809527
659.1010620075368,0.8238763275094211,465605.3893551605,0.17435230428941173,1.0,38156.7872923511,0.014298358900734666,0.23,False,0.29904661300258817,0.8985428571428564,0.10145714285714358
662.1423432682425,0.8276779290853031,454780.68769035366,0.17029441619951663,1.0,46397.72601435279,0.01734183220093831,0.1818,False,0.3010260913396617,0.8647238095238096,0.13527619047619044
665.1836245289483,0.8314795306611853,445862.73762303527,0.1668439564992509,1.0,56572.32721157432,0.021082023114278554,0.1322,False,0.3035707695494756,0.8309047619047614,0.16909523809523863
668.2249057896539,0.8352811322370673,435091.7352806858,0.16289985837844834,1.0,66751.15458442239,0.024819393608614904,0.0932,False,0.30470990086491384,0.7970857142857144,0.2029142857142856
671.2661870503597,0.8390827338129496,425226.1214810642,0.159160585300825,1.0,75932.20243259898,0.02813571570657415,0.0682,False,0.3045924097105775,0.7632666666666663,0.23673333333333368
674.3074683110653,0.8428843353888317,415184.38785627484,0.15537132651373242,1.0,86692.06706988726,0.032026528224159904,0.04,False,0.3047599285596127,0.7294476190476193,0.27055238095238066
677.3487495717711,0.846685936964714,404806.4039129226,0.15157241969770444,1.0,97613.53135528379,0.03591617820961149,0.0268,False,0.3034206937883931,0.6956285714285712,0.30437142857142885
680.3900308324769,0.8504875385405961,395970.53164195357,0.14811525489772534,1.0,106983.75358489803,0.03924593819298449,0.0158,False,0.3021006784284077,0.6618095238095228,0.33819047619047715
683.4313120931826,0.8542891401164782,385295.3853447043,0.1441085428234989,1.0,116976.33054216042,0.04272969713454962,0.0116,False,0.2997159799764492,0.627990476190476,0.372009523809524
686.4725933538883,0.8580907416923604,374321.27629433956,0.14015747310679677,1.0,127499.49321707587,0.046439320230094235,0.0056,False,0.29755023117475776,0.5941714285714278,0.4058285714285722
689.513874614594,0.8618923432682425,365151.2406208406,0.1367179718057673,1.0,137935.53489054137,0.0500508575888354,0.0036,False,0.2953425802640371,0.5603523809523808,0.4396476190476192
692.5551558752998,0.8656939448441247,355882.2881206204,0.1331716080451011,1.0,147827.2460268417,0.05346715000578795,0.0014,False,0.29308012563157076,0.5265333333333326,0.47346666666666737
695.5964371360054,0.8694955464200068,345280.4962793216,0.12918151241353465,1.0,157350.65478334876,0.05669290992049466,0.0008,False,0.29034705868947425,0.4927142857142857,0.5072857142857143
698.6377183967112,0.873297147995889,333966.9590968298,0.12504283072861236,1.0,168888.2301746165,0.06063888683933732,0.0006,False,0.28746998151002867,0.45889523809523747,0.5411047619047625
701.6789996574169,0.877098749571771,324469.41910074867,0.12143051929848843,1.0,177178.80916529716,0.06339466998046926,0.0,False,0.2850013635089419,0.4250761904761906,0.5749238095238094
704.7202809181226,0.8809003511476533,315248.1253096505,0.11792235505181665,1.0,187423.56133317528,0.06683055481801138,0.0,False,0.2825456485362717,0.3912571428571424,0.6087428571428576
707.7615621788283,0.8847019527235354,303909.2803514554,0.1137583481332442,1.0,196542.65460618626,0.0698713515516805,0.0,False,0.27963084369327096,0.35743809523809544,0.6425619047619046
710.8028434395341,0.8885035542994175,293839.65032404574,0.11000461046600858,1.0,206390.88985874856,0.07312292806042452,0.0,False,0.277003227326206,0.32361904761904725,0.6763809523809527
